Region Name,City Name,School Name,School Score
Peel Region,Brampton,Carrefour des Jeunes,7.2
York Region,Markham,Coppard Glen,7.2
Durham Region,Ajax,da Vinci,7.2
Peel Region,Brampton,Eagle Plains,7.2
City of Toronto,Toronto,Félix-Leclerc,7.2
Peel Region,Brampton,Great Lakes,7.2
York Region,Stouffville,Oscar Peterson,7.2
Halton Region,Milton,Our Lady of Fatima,7.2
City of Toronto,Toronto,Park Lawn,7.2
York Region,Markham,Reesor Park,7.2
Halton Region,Oakville,River Oaks,7.2
Peel Region,Mississauga,Springfield,7.2
Halton Region,Oakville,St. Bernadette,7.2
Peel Region,Mississauga,St. Christopher,7.2
Peel Region,Mississauga,St. Clare,7.2
City of Toronto,Toronto,St. Edward,7.2
York Region,Woodbridge,St. Emily,7.2
City of Toronto,Toronto,St. Gerald,7.2
Halton Region,Oakville,St. James,7.2
Peel Region,Mississauga,St. Matthew,7.2
Durham Region,Whitby,St. Matthew the Evangelist,7.2
York Region,Markham,St. Patrick,7.2
Halton Region,Milton,St. Scholastica,7.2
Halton Region,Burlington,Tom Thomson,7.2
Peel Region,Caledon,Walnut Grove,7.2
City of Toronto,Toronto,Albion Heights,7.1
York Region,Thornhill,Bakersfield,7.1
Peel Region,Mississauga,Bishop Scalabrini,7.1
City of Toronto,Toronto,Burrows Hall,7.1
Halton Region,Milton,Escarpment View,7.1
City of Toronto,Toronto,Gabrielle-Roy,7.1
City of Toronto,Toronto,Hillcrest,7.1
City of Toronto,Toronto,Humbercrest,7.1
City of Toronto,Toronto,Inglewood Heights,7.1
City of Toronto,Toronto,Joyce,7.1
Halton Region,Milton,Lumen Christi,7.1
City of Toronto,Toronto,Port Royal,7.1
City of Toronto,Toronto,Regent Heights,7.1
Peel Region,Caledon,Saint-Jean-Bosco,7.1
Durham Region,Whitby,Sir Samuel Steele,7.1
City of Toronto,Toronto,Sprucecourt,7.1
City of Toronto,Toronto,St. Bruno,7.1
Peel Region,Mississauga,St. Catherine of Siena,7.1
Peel Region,Mississauga,St. Jerome,7.1
Peel Region,Brampton,St. Josephine Bakhita,7.1
Halton Region,Milton,Tiger Jeet Singh,7.1
City of Toronto,Toronto,Banting and Best,7.0
Peel Region,Brampton,Bishop Francis Allen,7.0
York Region,Woodbridge,Blue Willow,7.0
Durham Region,Ajax,Cadarackque,7.0
Durham Region,Ajax,Carruthers Creek,7.0
York Region,Maple,Divine Mercy,7.0
City of Toronto,Toronto,Duke of Connaught,7.0
Halton Region,Oakville,Eastview,7.0
City of Toronto,Toronto,Gulfstream,7.0
Halton Region,Milton,Irma Coulson,7.0
City of Toronto,Toronto,Lynnwood Heights,7.0
Halton Region,Milton,Martin Street,7.0
Peel Region,Brampton,Mountain Ash,7.0
Peel Region,Brampton,Our Lady of Lourdes,7.0
Halton Region,Milton,P. L. Robertson,7.0
Peel Region,Brampton,Roberta Bondar,7.0
Peel Region,Brampton,Sainte-Jeanne-d'Arc,7.0
Peel Region,Mississauga,Shelter Bay,7.0
York Region,Woodbridge,St. Clare,7.0
Peel Region,Mississauga,St. Dominic,7.0
Halton Region,Oakville,St. Gregory the Great,7.0
Peel Region,Brampton,St. Jean-Marie Vianney,7.0
City of Toronto,Toronto,St. John,7.0
Durham Region,Uxbridge,St. Joseph,7.0
City of Toronto,Toronto,St. Leo,7.0
City of Toronto,Toronto,St. Margaret,7.0
Peel Region,Mississauga,St. Raymond,7.0
York Region,Newmarket,Stonehaven,7.0
Peel Region,Brampton,Treeline,7.0
Peel Region,Brampton,Whaley's Corners,7.0
York Region,Markham,Wilclay,7.0
City of Toronto,Toronto,Woburn,7.0
Peel Region,Brampton,Castle Oaks,6.9
Peel Region,Mississauga,Floradale,6.9
City of Toronto,Toronto,Heritage Park,6.9
City of Toronto,Toronto,John G Diefenbaker,6.9
City of Toronto,Toronto,Keele Street,6.9
City of Toronto,Toronto,Meadowvale,6.9
City of Toronto,Toronto,Morse Street,6.9
City of Toronto,Toronto,Niagara Street,6.9
Durham Region,Ajax,Notre-Dame-de-la-Jeunesse,6.9
City of Toronto,Toronto,Pauline,6.9
Durham Region,Pickering,Pickering,6.9
York Region,Aurora,Regency Acres,6.9
City of Toronto,Toronto,Rouge Valley,6.9
York Region,Woodbridge,St. Andrew,6.9
Peel Region,Mississauga,St. Bernadette,6.9
Durham Region,Oshawa,St. Christopher,6.9
Peel Region,Mississauga,St. Elizabeth Seton,6.9
Peel Region,Caledon,St. Evan,6.9
Durham Region,Pickering,St. Isaac Jogues,6.9
Durham Region,Oshawa,St. John Bosco,6.9
City of Toronto,Toronto,St. Louis,6.9
City of Toronto,Toronto,St. Malachy,6.9
Peel Region,Mississauga,St. Sebastian,6.9
Halton Region,Oakville,St. Vincent's,6.9
City of Toronto,Toronto,Sts Cosmas and Damian,6.9
Peel Region,Mississauga,Tecumseh,6.9
Durham Region,Ajax,Terry Fox,6.9
City of Toronto,Toronto,The Waterfront,6.9
York Region,Woodbridge,Vellore Woods,6.9
City of Toronto,Toronto,Whole Child,6.9
City of Toronto,Toronto,Agincourt,6.8
York Region,Unionville,Aldergrove,6.8
York Region,Markham,Armadale,6.8
York Region,Aurora,Aurora Heights,6.8
City of Toronto,Toronto,Bellmere,6.8
City of Toronto,Toronto,Blessed Pier Giorgio Frassati,6.8
Halton Region,Milton,Boyne,6.8
City of Toronto,Toronto,George Peck,6.8
City of Toronto,Toronto,Huron Street,6.8
City of Toronto,Toronto,Immaculate Heart of Mary,6.8
City of Toronto,Toronto,Islington,6.8
York Region,Markham,Kateri Tekakwitha,6.8
Durham Region,Ajax,Lakeside,6.8
Durham Region,Ajax,Lincoln Alexander,6.8
York Region,Markham,Little Rouge,6.8
Peel Region,Mississauga,Maingate Academy,6.8
York Region,Maple,Maple Creek,6.8
Peel Region,Brampton,McClure,6.8
York Region,Aurora,Our Lady of Grace,6.8
York Region,Concord,Our Lady of the Rosary,6.8
Halton Region,Oakville,Palermo,6.8
Durham Region,Uxbridge,Quaker Village,6.8
Peel Region,Brampton,Ross Drive,6.8
City of Toronto,Toronto,St. Boniface,6.8
City of Toronto,Toronto,St. Gabriel Lalemant,6.8
City of Toronto,Toronto,St. Lawrence,6.8
Peel Region,Mississauga,St. Luke,6.8
Peel Region,Brampton,St. Ursula,6.8
Peel Region,Mississauga,St. Valentine,6.8
City of Toronto,Toronto,Tom Longboat,6.8
Peel Region,Mississauga,Tony Pontes,6.8
City of Toronto,Toronto,William G Davis,6.8
City of Toronto,Toronto,Brimwood Boulevard,6.7
City of Toronto,Toronto,Chine Drive,6.7
City of Toronto,Toronto,Ellesmere-Statton,6.7
Halton Region,Oakville,Falgarwood,6.7
Halton Region,Burlington,Florence Meares,6.7
Durham Region,Pickering,Fr Fenelon,6.7
City of Toronto,Toronto,George B Little,6.7
Halton Region,Burlington,Glenview,6.7
York Region,Aurora,Highview,6.7
Peel Region,Brampton,Holy Spirit,6.7
Durham Region,Oshawa,John XXIII,6.7
City of Toronto,Toronto,King Edward,6.7
City of Toronto,Toronto,La Mosaïque,6.7
Peel Region,Brampton,Lester B Pearson,6.7
City of Toronto,Toronto,Macklin,6.7
City of Toronto,Toronto,Norway,6.7
City of Toronto,Toronto,Ogden,6.7
York Region,Woodbridge,Our Lady of Fatima,6.7
City of Toronto,Toronto,Our Lady of Lourdes,6.7
York Region,Woodbridge,Pine Grove,6.7
Durham Region,Whitby,Pringle Creek,6.7
Durham Region,Ajax,Roland Michener,6.7
Halton Region,Burlington,Rolling Meadows,6.7
City of Toronto,Toronto,Sacred Heart,6.7
