Region Name,City Name,School Name,School Score
Durham Region,Ajax,Lincoln Avenue,5.3
Peel Region,Mississauga,St. Alfred,5.3
Peel Region,Brampton,St. André Bessette,5.3
City of Toronto,Toronto,St. Bede,5.3
City of Toronto,Toronto,St. Gabriel,5.3
Durham Region,Ajax,St. James,5.3
Durham Region,Ajax,Westney Heights,5.3
Peel Region,Mississauga,All Saints,5.2
Durham Region,Pickering,Bayview Heights,5.2
Durham Region,Ajax,Bolton C Falby,5.2
Durham Region,Ajax,Duffin's Bay,5.2
Halton Region,Milton,Sam Sherratt,5.2
City of Toronto,Toronto,St. Francis Xavier,5.2
Durham Region,Oshawa,St. Joseph,5.2
City of Toronto,Toronto,St. Jude,5.2
City of Toronto,Toronto,St. Margaret's,5.2
Halton Region,Burlington,St. Patrick,5.2
Peel Region,Mississauga,St. Raphael,5.2
Durham Region,Oshawa,St. Thomas Aquinas,5.2
City of Toronto,Toronto,William G Miller,5.2
City of Toronto,Toronto,Birch Cliff Heights,5.1
City of Toronto,Toronto,Blessed Margherita of Citta Castello,5.1
Peel Region,Mississauga,Elm Drive,5.1
City of Toronto,Toronto,John McCrae,5.1
Peel Region,Mississauga,Mary Fix,5.1
