Region Name,City Name,School Name,School Score
Peel Region,Mississauga,Al-Risala,10.0
City of Toronto,Toronto,Avondale Alternative,10.0
City of Toronto,Toronto,Havergal,10.0
Peel Region,Mississauga,IQRA Islamic,10.0
Durham Region,Ajax,Islamic Foundation,10.0
City of Toronto,Toronto,Islamic Institute of Toronto,10.0
Peel Region,Brampton,Khalsa Community,10.0
Peel Region,Mississauga,Khalsa School Malton,10.0
City of Toronto,Toronto,Northmount,10.0
Peel Region,Mississauga,Safa & Marwa,10.0
City of Toronto,Toronto,Sathya Sai,10.0
York Region,Unionville,St Justin Martyr,10.0
Halton Region,Oakville,St Mildred's-Lightbourn,10.0
City of Toronto,Toronto,St Sebastian,10.0
York Region,Markham,Sainte-Marguerite-Bourgeoys,9.8
York Region,Unionville,St Benedict,9.8
York Region,Markham,Donald Cousens,9.7
City of Toronto,Toronto,Nile Academy,9.6
Peel Region,Mississauga,Olive Grove,9.6
Peel Region,Brampton,Al-Ameen,9.5
City of Toronto,Toronto,Fleming,9.5
Peel Region,Brampton,Guru Tegh Bahadur,9.5
York Region,Markham,Stonebridge,9.5
City of Toronto,Toronto,Whitney,9.5
Peel Region,Mississauga,St Rose of Lima,9.4
Peel Region,Brampton,Wali ul Asr,9.4
Durham Region,Oshawa,Clara Hughes,9.3
City of Toronto,Toronto,Denlow,9.3
Durham Region,Whitby,Fallingbrook,9.3
City of Toronto,Toronto,Humber Valley Village,9.3
Peel Region,Mississauga,ISNA Islamic,9.3
City of Toronto,Toronto,John Ross Robertson,9.3
Halton Region,Burlington,St Raphaels,9.3
City of Toronto,Toronto,Beverly Glen,9.2
City of Toronto,Toronto,Islamic Foundation,9.2
Peel Region,Caledon,Wali ul Asr,9.2
City of Toronto,Toronto,Blythwood,9.1
Durham Region,Pickering,Elizabeth B Phin,9.1
City of Toronto,Toronto,Ossington/Old Orchard,9.1
Peel Region,Mississauga,St Helen,9.1
Peel Region,Mississauga,St Mark,9.1
City of Toronto,Toronto,Swansea,9.1
York Region,Markham,Coledale,9.0
City of Toronto,Toronto,Iroquois,9.0
Halton Region,Burlington,John T Tuck,9.0
York Region,Markham,San Lorenzo Ruiz,9.0
Halton Region,Oakville,St Matthew's,9.0
City of Toronto,Toronto,Withrow Avenue,9.0
City of Toronto,Toronto,C D Farquharson,8.9
City of Toronto,Toronto,Chine Drive,8.9
City of Toronto,Toronto,David Lewis,8.9
York Region,Maple,Michael Cranny,8.9
York Region,Unionville,William Berczy,8.9
City of Toronto,Toronto,Bessborough Drive,8.8
City of Toronto,Toronto,Cedarvale,8.8
York Region,Markham,Cedarwood,8.8
City of Toronto,Toronto,Downtown Alternative,8.8
City of Toronto,Toronto,Josyf Cardinal Slipyj,8.8
City of Toronto,Toronto,Port Royal,8.8
Halton Region,Burlington,Renaissance,8.8
City of Toronto,Toronto,St Clement,8.8
City of Toronto,Toronto,St Michael's Choir,8.8
City of Toronto,Toronto,Summit Heights,8.8
York Region,Thornhill,Bayview Fairways,8.7
City of Toronto,Toronto,Brookmill Boulevard,8.7
Halton Region,Oakville,E J James,8.7
City of Toronto,Toronto,Island Public/Natural Science,8.7
Peel Region,Mississauga,John XXIII,8.7
City of Toronto,Toronto,Milliken,8.7
City of Toronto,Toronto,Rosedale,8.7
City of Toronto,Toronto,Runnymede,8.7
City of Toronto,Toronto,St Bonaventure,8.7
Peel Region,Mississauga,St David of Wales,8.7
York Region,Woodbridge,St Gregory the Great,8.7
Halton Region,Burlington,St. Anne,8.7
Durham Region,Pickering,Altona Forest,8.6
City of Toronto,Toronto,Bedford Park,8.6
City of Toronto,Toronto,Bellmere,8.6
City of Toronto,Toronto,Centennial Road,8.6
City of Toronto,Toronto,Davisville,8.6
City of Toronto,Toronto,Dunlace,8.6
City of Toronto,Toronto,Forest Hill,8.6
Halton Region,Oakville,Forest Trail,8.6
York Region,Thornhill,Henderson Avenue,8.6
Halton Region,Oakville,Munns,8.6
Halton Region,Oakville,New Central,8.6
City of Toronto,Toronto,Our Lady of Perpetual Help,8.6
Peel Region,Mississauga,St John of the Cross,8.6
Peel Region,Mississauga,Tecumseh,8.6
York Region,Aurora,Aurora,8.5
York Region,Thornhill,Baythorn,8.5
York Region,Markham,Beckett Farm,8.5
City of Toronto,Toronto,Bialik Hebrew Day,8.5
