Trend,School_Name,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3
Roland,Michener,South,Porcupine,5.1,n/a,,
Kapuskasing,Kapuskasing,5.1,n/a,,,,
Jean,Vanier,Collingwood,5,n/a,,,
Adam,Scott,Peterborough,5,n/a,,,
Kincardine,Kincardine,5,n/a,,,,
Deslauriers,Nepean,5,n/a,,,,
Mre-Teresa,Hamilton,5,n/a,,,,
Thomas,A,Stewart,Peterborough,5,n/a,,
St,Marys,Owen,Sound,5,n/a,,
Catholic,Central,London,5,n/a,,,
Catholic,Central,Windsor,5,n/a,,,
Thousand,Islands,Brockville,5,n/a,,,
Our,Lady,of,the,Lake,Keswick,5,n/a
St,Marys,Sault,Ste.,Marie,5,n/a,
Thistletown,Toronto,5,n/a,,,,
Westminster,London,5,n/a,,,,
Keswick,Keswick,5,n/a,,,,
Fort,Erie,Fort,Erie,5,n/a,,
Bruce,Peninsula,Lions,Head,5,n/a,,
Espanola,Espanola,5,n/a,,,,
G,L,Roberts,Oshawa,5,n/a,,
Heart,Lake,Brampton,5,n/a,,,
Jean,Augustine,Brampton,5,n/a,,,
Notre,Dame,Ottawa,4.9,n/a,,,
Riverside,Windsor,4.9,n/a,,,,
Napanee,Napanee,4.9,n/a,,,,
Dante,Alighieri,Toronto,4.9,n/a,,,
Walkerton,Walkerton,4.9,n/a,,,,
Kenner,Peterborough,4.9,n/a,,,,
Woodstock,Woodstock,4.9,n/a,,,,
Trenton,Trenton,4.9,n/a,,,,
Pine,Ridge,Pickering,4.9,n/a,,,
Rockland,Rockland,4.8,n/a,,,,
Forest,Heights,Kitchener,4.8,n/a,,,
Collge,Notre-Dame,Sudbury,4.8,n/a,,,
Danforth,Toronto,4.8,n/a,,,,
Grey,Highlands,Flesherton,4.8,n/a,,,
Brock,Cannington,4.8,n/a,,,,
Vankleek,Hill,Vankleek,Hill,4.7,n/a,,
Saunders,London,4.7,n/a,,,,
Almonte,Almonte,4.7,n/a,,,,
Fort,Frances,Fort,Frances,4.7,n/a,,
Prince,Edward,Picton,4.7,n/a,,,
F,E,Madill,Wingham,4.7,n/a,,
McKinnon,Park,Caledonia,4.7,n/a,,,
W,C,Eaket,Blind,River,4.7,n/a,
Archbishop,Romero,Toronto,4.7,n/a,,,
West,Elgin,West,Lorne,4.7,n/a,,
Winston,Churchill,Toronto,4.7,n/a,,,
Waterford,Waterford,4.7,n/a,,,,
Sacr-Coeur,Sudbury,4.7,n/a,,,,
Ajax,Ajax,4.7,n/a,,,,
Bramalea,Brampton,4.7,n/a,,,,
Haliburton,Highland,Haliburton,4.7,n/a,,,
Algonquin,North,Bay,4.6,n/a,,,
Hawkesbury,Hawkesbury,4.6,n/a,,,,
Newtonbrook,Toronto,4.6,n/a,,,,
Dryden,Dryden,4.6,n/a,,,,
Western,Toronto,4.6,n/a,,,,
York,Memorial,Toronto,4.6,n/a,,,
Ernestown,Odessa,4.6,n/a,,,,
Hon,W,C,Kennedy,Windsor,4.6,n/a,
Gananoque,Gananoque,4.6,n/a,,,,
Fenelon,Falls,Fenelon,Falls,4.6,n/a,,
Granite,Ridge,Sharbot,Lake,4.6,n/a,,
Rainy,River,Rainy,River,4.5,n/a,,
Sir,Allan,MacNab,Hamilton,4.5,n/a,,
Sherwood,Hamilton,4.5,n/a,,,,
Sir,Wilfrid,Laurier,London,4.5,n/a,,
Superior,Heights,Sault,Ste.,Marie,4.5,n/a,
Le,Caron,Penetanguishene,4.5,n/a,,,
H,B,Beal,London,4.5,n/a,,
Norwood,Norwood,4.5,n/a,,,,
Lakeshore,Toronto,4.5,n/a,,,,
Al-Risala,Mississauga,4.5,n/a,,,,
Great,Lakes,Sarnia,4.5,n/a,,,
Jean-Vanier,Kirkland,Lake,4.5,n/a,,,
tienne-Brl,Toronto,4.4,n/a,,,,
Port,Hope,Port,Hope,4.4,n/a,,
Birchmount,Park,Toronto,4.4,n/a,,,
Bishop,Marrocco/Thomas,Merton,Toronto,4.4,n/a,,
Glendale,Hamilton,4.4,n/a,,,,
Lake,Superior,Terrace,Bay,4.4,n/a,,
Georges,Vanier,Toronto,4.4,n/a,,,
Georgian,Bay,District,Midland,4.4,n/a,,
Manitoulin,MChigeeng,4.4,n/a,,,,
Holy,Cross,Woodbridge,4.3,n/a,,,
Fellowes,Pembroke,4.3,n/a,,,,
Monsignor,Percy,Johnson,Toronto,4.3,n/a,,
John,Polanyi,Toronto,4.3,n/a,,,
Quinte,Belleville,4.3,n/a,,,,
George,S,Henry,Toronto,4.3,n/a,,
Dunnville,Dunnville,4.3,n/a,,,,
Eastdale,Welland,4.3,n/a,,,,
Athens,Athens,4.3,n/a,,,,
Nancy,Campbell,Stratford,4.3,n/a,,,
Lester,B,Pearson,Gloucester,4.2,n/a,,
Saint-Franois-Xavier,Sarnia,4.2,n/a,,,,
Centre,Hastings,Madoc,4.2,n/a,,,
Madawaska,Valley,Barrys,Bay,4.2,n/a,,
Jarvis,Toronto,4.2,n/a,,,,
White,Pines,Sault,Ste.,Marie,4.2,n/a,
Ridgemont,Ottawa,4.2,n/a,,,,
North,Albion,Toronto,4.2,n/a,,,
South,Grenville,Prescott,4.2,n/a,,,
lHorizon,Val,Caron,4.1,n/a,,,
Wallaceburg,Wallaceburg,4.1,n/a,,,,
East,Elgin,Aylmer,4.1,n/a,,,
West,Hill,Toronto,4.1,n/a,,,
Nipigon,Red,Rock,Red,Rock,4.1,n/a,
Confederation,Val,Caron,4.1,n/a,,,
Moira,Belleville,4,n/a,,,,
Pain,Court,Pain,Court,4,n/a,,
Loretto,Toronto,4,n/a,,,,
Marathon,Marathon,4,n/a,,,,
Regina,Mundi,London,4,n/a,,,
F,J,McElligott,Mattawa,4,n/a,,
Thomas,L,Kennedy,Mississauga,4,n/a,,
Runnymede,Toronto,3.9,n/a,,,,
Wasse-Abin,Wikwemikong,Wikwemikong,3.9,n/a,,,
East,York,Toronto,3.8,n/a,,,
Jeunesse-Nord,Blind,River,3.8,n/a,,,
Valley,Heights,Langton,3.8,n/a,,,
Clarke,Road,London,3.8,n/a,,,
Almaguin,Highlands,South,River,3.8,n/a,,
OGorman,Timmins,3.7,n/a,,,,
Macdonald-Cartier,Sudbury,3.7,n/a,,,,
Tilbury,Tilbury,3.6,n/a,,,,
College,Avenue,Woodstock,3.6,n/a,,,
Cornwall,Cornwall,3.6,n/a,,,,
Nouveau,Regard,-,Jeunesse,Nord,Cochrane,3.6,n/a
Central,Commerce,Toronto,3.6,n/a,,,
Everest,Thornhill,3.5,n/a,,,,
Woodroffe,Ottawa,3.5,n/a,,,,
Georges-P-Vanier,Hamilton,3.4,n/a,,,,
Glencoe,Glencoe,3.4,n/a,,,,
Pauline,Johnson,Brantford,3.4,n/a,,,
Cathedral,Hamilton,3.4,n/a,,,,
Barton,Hamilton,3.4,n/a,,,,
Sutton,Sutton,West,3.4,n/a,,,
Englehart,Englehart,3.3,n/a,,,,
North,Hastings,Bancroft,3.3,n/a,,,
John,L,Forster,Windsor,3.3,n/a,,
Sir,Guy,Carleton,Nepean,3.3,n/a,,
David,and,Mary,Thomson,Toronto,3.2,n/a,
Oakwood,Toronto,3.2,n/a,,,,
Rideau,Ottawa,3.2,n/a,,,,
Iroquois,Falls,Iroquois,Falls,3.1,n/a,,
Central,Toronto,3.1,n/a,,,,
Safa,&,Marwa,Mississauga,3.1,n/a,,
St,Lawrence,Cornwall,3,n/a,,,
Timmins,Timmins,3,n/a,,,,
Sir,Winston,Churchill,Hamilton,3,n/a,,
Smiths,Falls,Smiths,Falls,2.8,n/a,,
Cedarbrae,Toronto,2.8,n/a,,,,
Kipling,Toronto,2.8,n/a,,,,
Lincoln,M,Alexander,Mississauga,2.8,n/a,,
Renaissance,Timmins,2.8,n/a,,,,
Geraldton,Geraldton,2.7,n/a,,,,
Weston,Toronto,2.6,n/a,,,,
Queen,Elizabeth,Sioux,Lookout,2.6,n/a,,
Downsview,Toronto,2.6,n/a,,,,
Northern,Sturgeon,Falls,2.5,n/a,,,
College,Heights,Guelph,2.5,n/a,,,
Chelmsford,Valley,Chelmsford,2.5,n/a,,,
Arthur,Voaden,St,Thomas,2.2,n/a,,
LAlliance-publique,Iroquois,Falls,2.1,n/a,,,
Delta,Hamilton,2,n/a,,,,
Sir,John,A,Macdonald,Hamilton,1.9,n/a,
Hanmer,Hanmer,1.9,n/a,,,,
Montcalm,London,1.6,n/a,,,,
Ottawa,Technical,Ottawa,1.6,n/a,,,
Emery,Toronto,1.5,n/a,,,,
City,School,Toronto,1.5,n/a,,,
North,Addington,Cloyne,1.4,n/a,,,
Scarlett,Heights,Entrepreneurial,Toronto,1.3,n/a,,
Alexander,Mackenzie,Sarnia,1.3,n/a,,,
Westview,Centennial,Toronto,0.9,n/a,,,
Eenchokay,Birchstick,Pikangikum,0.4,n/a,,,
Manitouwadge,Manitouwadge,0,n/a,,,,
Cochrane,Cochrane,0,n/a,,,,
Northern,Lights,Moosonee,0,n/a,,,
Bendale,Toronto,0,n/a,,,,
Western,Amherstburg,0,n/a,,,,
Francine,J.,Wesley,Kashechewan,0,n/a,,
Judith,Nyman,Brampton,0,n/a,,,
Notre-Dame,Woodstock,0,n/a,,,,
St.,Luke,Catholic,Smiths,Falls,0,n/a,
Thomas,Fiddler,Memorial,Sandy,Lake,0,n/a,
West,Credit,Mississauga,0,n/a,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,ß,,,,
