School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
R,Gordon,Sinclair,Kingston,7.6,n/a,,,
Saint-Joseph,Russell,7.6,n/a,,,,,
Saint-Joseph,Wendover,7.6,n/a,,,,,
Sandwich,West,LaSalle,7.6,n/a,,,,
Silver,Pines,Richmond,Hill,7.6,n/a,,,
Sir,Samuel,Steele,Whitby,7.6,n/a,,,
SouthFields,Village,Caledon,7.6,n/a,,,,
St,Bridget,Brooklin,7.6,n/a,,,,
St,Christopher,Mississauga,7.6,n/a,,,,
St,Edith,Stein,Mississauga,7.6,n/a,,,
St,Gabriel,Lalemant,Toronto,7.6,n/a,,,
St,Georges,London,7.6,n/a,,,,
St,Gregory,Nepean,7.6,n/a,,,,
St,James,Tottenham,7.6,n/a,,,,
St,Joseph's,Arnprior,7.6,n/a,,,,
St,Leonard,Manotick,7.6,n/a,,,,
St,Paul,London,7.6,n/a,,,,
St,Teresa,of,Avila,Hamilton,7.6,n/a,,
St,Thomas,More,Mississauga,7.6,n/a,,,
St.,Benedict,Milton,7.6,n/a,,,,
Terre,des,Jeunes,Alexandria,7.6,n/a,,,
Valley,Farm,Pickering,7.6,n/a,,,,
Walnut,Grove,Caledon,7.6,n/a,,,,
Wilkinson,Toronto,7.6,n/a,,,,,
Williamsburg,Kitchener,7.6,n/a,,,,,
Winger,Wainfleet,7.6,n/a,,,,,
Alexander,Muir/Gladstone,Ave,Toronto,7.5,n/a,,,
Arbour,Vista,Guelph,7.5,n/a,,,,
Blessed,Sacrament,Toronto,7.5,n/a,,,,
Brown,Toronto,7.5,n/a,,,,,
Byron,Somerset,London,7.5,n/a,,,,
C,M,L,Snider,Wellington,7.5,n/a,,
Captain,Michael,VandenBos,Whitby,7.5,n/a,,,
Churchill,Heights,Toronto,7.5,n/a,,,,
Colchester,North,Essex,7.5,n/a,,,,
Conestogo,Conestogo,7.5,n/a,,,,,
Discovery,Maple,7.5,n/a,,,,,
Divine,Mercy,Mississauga,7.5,n/a,,,,
Donald,Young,Emo,7.5,n/a,,,,
Eagle,Ridge,Ajax,7.5,n/a,,,,
Ealing,London,7.5,n/a,,,,,
East,Garafraxa,East,Garafraxa,7.5,n/a,,,
Eastview,Oakville,7.5,n/a,,,,,
Glenview,Burlington,7.5,n/a,,,,,
Hewitt's,Creek,Barrie,7.5,n/a,,,,
Holy,Angels,Toronto,7.5,n/a,,,,
Holy,Family,Paris,7.5,n/a,,,,
Holy,Trinity,Guelph,7.5,n/a,,,,
Hyde,Park,Barrie,7.5,n/a,,,,
Iona,Williamstown,7.5,n/a,,,,,
Jeanne,Sauve,St,Catharines,7.5,n/a,,,
La,Source,Moose,Creek,7.5,n/a,,,
La,Vérendrye,Gloucester,7.5,n/a,,,,
Lexington,Waterloo,7.5,n/a,,,,,
Lincoln,Alexander,Ajax,7.5,n/a,,,,
MacKenzie,Community,Deep,River,7.5,n/a,,,
Maple,Ridge,Pickering,7.5,n/a,,,,
Maurice-Lapointe,Kanata,7.5,n/a,,,,,
Maxville,Maxville,7.5,n/a,,,,,
Mother,Teresa,Ajax,7.5,n/a,,,,
Nellie,McClung,Vaughan,7.5,n/a,,,,
Our,Lady,of,Fatima,Milton,7.5,n/a,,
Our,Lady,of,Lourdes,Pembroke,7.5,n/a,,
Our,Lady,of,the,Annunciation,Richmond,Hill,7.5,n/a
Pope,John,Paul,II,Kitchener,7.5,n/a,,
Seneca,Trail,Oshawa,7.5,n/a,,,,
Sheridan,Park,St,Catharines,7.5,n/a,,,
South,Perth,Centennial,St,Marys,7.5,n/a,,
St,Ambrose,Toronto,7.5,n/a,,,,
St,Ann,Thunder,Bay,7.5,n/a,,,
St,Bernadette,Oakville,7.5,n/a,,,,
St,Cecilia's,Port,Dover,7.5,n/a,,,
St,Christopher,Burlington,7.5,n/a,,,,
St,Elizabeth,Seton,Burlington,7.5,n/a,,,
St,Elizabeth,Seton,Mississauga,7.5,n/a,,,
St,Gregory,Toronto,7.5,n/a,,,,
St,Herbert,Mississauga,7.5,n/a,,,,
St,John,de,Brebeuf,Kingsville,7.5,n/a,,
St,Luke,Nepean,7.5,n/a,,,,
St,Mark,Kitchener,7.5,n/a,,,,
St,Mark,Stouffville,7.5,n/a,,,,
St,Mary,Immaculate,Richmond,Hill,7.5,n/a,,
St,Nicholas,Waterloo,7.5,n/a,,,,
St,Padre,Pio,Woodbridge,7.5,n/a,,,
St,Peter's,&,St,Paul's,Durham,7.5,n/a,
St,Teresa,Kitchener,7.5,n/a,,,,
Talbot,Trail,Windsor,7.5,n/a,,,,
West,Rouge,Toronto,7.5,n/a,,,,
Wilclay,Markham,7.5,n/a,,,,,
Alexander,Kuska,KSG,Welland,7.4,n/a,,,
Algonquin,Road/Long,Lake,Sudbury,7.4,n/a,,,
Ancaster,Meadow,Ancaster,7.4,n/a,,,,
Banting,and,Best,Toronto,7.4,n/a,,,
Blessed,Pier,Giorgio,Frassati,Toronto,7.4,n/a,,
Brooklin,Village,Brooklin,7.4,n/a,,,,
C,E,Broughton,Whitby,7.4,n/a,,,
Carrville,Mills,Thornhill,7.4,n/a,,,,
Christ,The,King,Mississauga,7.4,n/a,,,
Clinton,Street,Toronto,7.4,n/a,,,,
Codrington,Barrie,7.4,n/a,,,,,
Devonshire,Ottawa,7.4,n/a,,,,,
Dr,Roberta,Bondar,Maple,7.4,n/a,,,
Emily,Carr,Oakville,7.4,n/a,,,,
Father,Frederick,McGinn,Richmond,Hill,7.4,n/a,,
Goderich,Goderich,7.4,n/a,,,,,
Hillcrest,Toronto,7.4,n/a,,,,,
Island,Lake,Orangeville,7.4,n/a,,,,
James,Robinson,Markham,7.4,n/a,,,,
John,G,Diefenbaker,Toronto,7.4,n/a,,,
Kenollie,Mississauga,7.4,n/a,,,,,
Lockview,St,Catharines,7.4,n/a,,,,
MacLeod,Sudbury,7.4,n/a,,,,,
Mother,Teresa,Bradford,7.4,n/a,,,,
Mother,Teresa,Markham,7.4,n/a,,,,
Oak,Ridges,Richmond,Hill,7.4,n/a,,,
Osgoode,Osgoode,7.4,n/a,,,,,
Our,Lady,of,Peace,Nepean,7.4,n/a,,
Paul,A,Fisher,Burlington,7.4,n/a,,,
Quaker,Village,Uxbridge,7.4,n/a,,,,
Queen,of,Heaven,Milton,7.4,n/a,,,
Roland,Michener,Kanata,7.4,n/a,,,,
Saint-Victor,Alfred,7.4,n/a,,,,,
St,Anne,Windsor,7.4,n/a,,,,
St,Bernadette,Dundas,7.4,n/a,,,,
St,Dominic,Mississauga,7.4,n/a,,,,
St,Jerome,Mississauga,7.4,n/a,,,,
St,John,Perth,7.4,n/a,,,,
St,Louis,Toronto,7.4,n/a,,,,
St,Luke,the,Evangelist,Whitby,7.4,n/a,,
St,Marguerite,d'Youville,Hamilton,7.4,n/a,,,
St,Raphael,Toronto,7.4,n/a,,,,
St,Raphael,the,Archangel,Maple,7.4,n/a,,
St,Rose,Windsor,7.4,n/a,,,,
St,Thérèse,of,Lisieux,Hamilton,7.4,n/a,,
St.,Gregory,the,Great,Oakville,7.4,n/a,,
Ste-Marguerite-d'Youville,Tecumseh,7.4,n/a,,,,,
Tarentorus,Sault,Ste.,Marie,7.4,n/a,,,
Terry,Fox,Toronto,7.4,n/a,,,,
Thornhill,Thornhill,7.4,n/a,,,,,
Tiffany,Hills,Ancaster,7.4,n/a,,,,
Trillium,Woods,Barrie,7.4,n/a,,,,
Victoria,Niagara,Falls,7.4,n/a,,,,
W.O.,Mitchell,Kanata,7.4,n/a,,,,
Wendat,Village,Stouffville,7.4,n/a,,,,
West,Humber,Toronto,7.4,n/a,,,,
Westcreek,Pickering,7.4,n/a,,,,,
Westminster,Central,London,7.4,n/a,,,,
William,G,Davis,Toronto,7.4,n/a,,,
Ascension,Burlington,7.3,n/a,,,,,
Beckwith,Carleton,Place,7.3,n/a,,,,
Berrigan,Nepean,7.3,n/a,,,,,
Brookville,Campbellville,7.3,n/a,,,,,
Carrefour,des,Jeunes,Brampton,7.3,n/a,,,
Claremont,Claremont,7.3,n/a,,,,,
Crossroads,Niagara-on-the-Lake,7.3,n/a,,,,,
D,M,Eagle,St,Clair,Beach,7.3,n/a,
da,Vinci,Ajax,7.3,n/a,,,,
Escarpment,View,Milton,7.3,n/a,,,,
Francojeunesse,Ottawa,7.3,n/a,,,,,
Great,Lakes,Brampton,7.3,n/a,,,,
Heritage,Glen,Oakville,7.3,n/a,,,,
Highbush,Pickering,7.3,n/a,,,,,
Hunter's,Glen,Toronto,7.3,n/a,,,,
Immaculate,Heart,of,Mary,Stoney,Creek,7.3,n/a,
Indian,Road,Crescent,Toronto,7.3,n/a,,,
Kate,S,Durdan,Niagara,Falls,7.3,n/a,,
Lambeth,London,7.3,n/a,,,,,
Linklater,Gananoque,7.3,n/a,,,,,
Maple,Creek,Maple,7.3,n/a,,,,
Mère-Élisabeth-Bruyère,Waterloo,7.3,n/a,,,,,
Milverton,Milverton,7.3,n/a,,,,,
Mineola,Mississauga,7.3,n/a,,,,,
New,Dundee,New,Dundee,7.3,n/a,,,
North,Agincourt,Toronto,7.3,n/a,,,,
North,Shore,Keene,7.3,n/a,,,,
Northern,Lights,Aurora,7.3,n/a,,,,
Norway,Toronto,7.3,n/a,,,,,
Oneida,Central,Caledonia,7.3,n/a,,,,
Our,Lady,of,Good,Counsel,Sharon,7.3,n/a,
Our,Lady,of,the,Assumption,Stoney,Creek,7.3,n/a
Pope,John,Paul,II,Oakville,7.3,n/a,,
Princess,Margaret,Niagara,Falls,7.3,n/a,,,
Ray,Lawson,Brampton,7.3,n/a,,,,
René-Lamoureux,Mississauga,7.3,n/a,,,,,
Ross,Drive,Brampton,7.3,n/a,,,,
Saint-Jean-Baptiste,Mississauga,7.3,n/a,,,,,
Saint-Jean-de-Lalande,Toronto,7.3,n/a,,,,,
Sir,Samuel,B,Steele,Toronto,7.3,n/a,,
Smith,Grimsby,7.3,n/a,,,,,
St,Emily,Woodbridge,7.3,n/a,,,,
St,George,Ottawa,7.3,n/a,,,,
St,Gregory,Mississauga,7.3,n/a,,,,
St,Isaac,Jogues,Pickering,7.3,n/a,,,
St,Joan,of,Arc,Oakville,7.3,n/a,,
St,John,Bosco,Barry's,Bay,7.3,n/a,,
St,Joseph,Uxbridge,7.3,n/a,,,,
St,Julia,Billiart,Markham,7.3,n/a,,,
St,Leo,Brooklin,7.3,n/a,,,,
St,Michael,the,Archangel,Vaughan,7.3,n/a,,
St,Sofia,Mississauga,7.3,n/a,,,,
St,Stephen,Woodbridge,7.3,n/a,,,,
St,Veronica,Mississauga,7.3,n/a,,,,
St.,Gabriel,Stoney,Creek,7.3,n/a,,,
Steele,Street,Port,Colborne,7.3,n/a,,,
Tecumseh,Vista,Academy,Tecumseh,7.3,n/a,,,
William,E,Brown,Wainfleet,7.3,n/a,,,
Willowbrook,Thornhill,7.3,n/a,,,,,
Allan,A,Greenleaf,Waterdown,7.2,n/a,,,
Alpine,Kitchener,7.2,n/a,,,,,
Brechin,Brechin,7.2,n/a,,,,,
Brigadoon,Kitchener,7.2,n/a,,,,,
Caledon,East,Caledon,East,7.2,n/a,,,
Cornell,Toronto,7.2,n/a,,,,,
de,la,Découverte,Cumberland,7.2,n/a,,,
Deer,Park,Toronto,7.2,n/a,,,,
Divine,Mercy,Maple,7.2,n/a,,,,
Edmison,Heights,Peterborough,7.2,n/a,,,,
Elizabeth,Ziegler,Waterloo,7.2,n/a,,,,
Emily,Carr,Toronto,7.2,n/a,,,,
Glenn,Gould,Vaughan,7.2,n/a,,,,
Greensborough,Markham,7.2,n/a,,,,,
Hartman,Aurora,7.2,n/a,,,,,
Hawthorn,Mississauga,7.2,n/a,,,,,
Holy,Cross,Halton,Hills,7.2,n/a,,,
Holy,Cross,Thunder,Bay,7.2,n/a,,,
Immaculate,Conception,Ancaster,7.2,n/a,,,,
John,A,Leslie,Toronto,7.2,n/a,,,
Kedron,Oshawa,7.2,n/a,,,,,
Lydia,Trull,Courtice,7.2,n/a,,,,
Mary,Johnston,Waterloo,7.2,n/a,,,,
Milliken,Mills,Unionville,7.2,n/a,,,,
Minesing,Central,Minesing,7.2,n/a,,,,
Mother,Cabrini,Toronto,7.2,n/a,,,,
Mother,Teresa,Walkerton,7.2,n/a,,,,
Northlake,Woods,Waterloo,7.2,n/a,,,,
Notre,Dame,Newmarket,7.2,n/a,,,,
Orchard,Park,London,7.2,n/a,,,,
Orchard,Park,Niagara,Falls,7.2,n/a,,,
Pickering,Pickering,7.2,n/a,,,,,
Sacred,Heart,Langton,7.2,n/a,,,,
Saint-Jean-Baptiste,L'Orignal,7.2,n/a,,,,,
Saint-Joseph,Wawa,7.2,n/a,,,,,
St,Anne's,Cornwall,7.2,n/a,,,,
St,Anselm,Toronto,7.2,n/a,,,,
St,Clement,St,Clements,7.2,n/a,,,
St,Cornelius,Caledon,East,7.2,n/a,,,
St,Denis,Toronto,7.2,n/a,,,,
St,Francis,of,Assisi,Toronto,7.2,n/a,,
St,Jean,de,Brebeuf,Toronto,7.2,n/a,,
St,Luke,Oakville,7.2,n/a,,,,
St,Luke,Waterloo,7.2,n/a,,,,
St,Mary,Campbellford,7.2,n/a,,,,
St,Mary,Nobleton,7.2,n/a,,,,
St,Matthias,Toronto,7.2,n/a,,,,
St,Simon,Stock,Mississauga,7.2,n/a,,,
St,Theresa,London,7.2,n/a,,,,
St.,Dominic,Cumberland,7.2,n/a,,,,
Sunset,Heights,Oshawa,7.2,n/a,,,,
Thornhill,Woods,Thornhill,7.2,n/a,,,,
Unionville,Unionville,7.2,n/a,,,,,
Walsh,Simcoe,7.2,n/a,,,,,
Westminster,Woods,Guelph,7.2,n/a,,,,
Zone,Township,Central,Bothwell,7.2,n/a,,,
Agnew,H,Johnston,Thunder,Bay,7.1,n/a,,
Algonquin,Ridge,Barrie,7.1,n/a,,,,
Anne,J.,MacArthur,Milton,7.1,n/a,,,
Anson,Park,Toronto,7.1,n/a,,,,
Beaumonde,Heights,Toronto,7.1,n/a,,,,
Blessed,Margherita,of,Citta,Castello,Toronto,7.1,,
Brookside,Toronto,7.1,n/a,,,,,
Captain,R,Wilson,Oakville,7.1,n/a,,,
Falgarwood,Oakville,7.1,n/a,,,,,
First,Avenue,Ottawa,7.1,n/a,,,,
Forestview,Niagara,Falls,7.1,n/a,,,,
Giles,Campus,French,Immersion,Windsor,7.1,n/a,,
Glamorgan,Toronto,7.1,n/a,,,,,
Hawthorne,II,Bilingual,Toronto,7.1,n/a,,,
Hespeler,Cambridge,7.1,n/a,,,,,
Holy,Cross,Kemptville,7.1,n/a,,,,
Jean-Paul,II,Stittsville,7.1,n/a,,,,
Jean-Paul,II,Whitby,7.1,n/a,,,,
John,McCrae,Guelph,7.1,n/a,,,,
Joseph,A,Gibson,Maple,7.1,n/a,,,
Kortright,Hills,Guelph,7.1,n/a,,,,
Lorna,Jackson,Woodbridge,7.1,n/a,,,,
Mother,Teresa,Kingston,7.1,n/a,,,,
Mountsfield,London,7.1,n/a,,,,,
Murray,Centennial,Trenton,7.1,n/a,,,,
Nativity,of,Our,Lord,Toronto,7.1,n/a,,
Nelles,Grimsby,7.1,n/a,,,,,
North,Kipling,Toronto,7.1,n/a,,,,
Notre,Dame,Caledonia,7.1,n/a,,,,
Notre-Dame-de-la-Jeunesse,Ajax,7.1,n/a,,,,,
Our,Lady,of,Hope,Richmond,Hill,7.1,n/a,
Pine,Grove,Woodbridge,7.1,n/a,,,,
Port,Weller,St,Catharines,7.1,n/a,,,
Ramer,Wood,Markham,7.1,n/a,,,,
Riverview,Central,Port,Lambton,7.1,n/a,,,
S,A,Cawker,Port,Perry,7.1,n/a,,
Sacred,Heart,Paris,7.1,n/a,,,,
Sainte-Marie,Oakville,7.1,n/a,,,,,
Saint-Jean,Aurora,7.1,n/a,,,,,
South,Dorchester,Belmont,7.1,n/a,,,,
Spencer,Avenue,Orangeville,7.1,n/a,,,,
St,Albert,of,Jerusalem,Mississauga,7.1,n/a,,
St,Ann,Ancaster,7.1,n/a,,,,
St,Basil,Mississauga,7.1,n/a,,,,
St,Catherine,of,Alexandria,Georgetown,7.1,n/a,,
St,Elizabeth,Seton,Pickering,7.1,n/a,,,
St,John,Chrysostom,Newmarket,7.1,n/a,,,
St,Johns,Burlington,7.1,n/a,,,,
St,Joseph,Grimsby,7.1,n/a,,,,
St,Joseph's,Simcoe,7.1,n/a,,,,
St,Louis,Mississauga,7.1,n/a,,,,
St,Matthew,the,Evangelist,Whitby,7.1,n/a,,
St,Patrick,Brampton,7.1,n/a,,,,
St,Patrick,Burlington,7.1,n/a,,,,
St,Robert,Toronto,7.1,n/a,,,,
St,Thomas,Aquinas,Toronto,7.1,n/a,,,
St,Timothy,Kitchener,7.1,n/a,,,,
St,Timothy,Toronto,7.1,n/a,,,,
St,Vincent,de,Paul,Toronto,7.1,n/a,,
Stephen,Central,Crediton,7.1,n/a,,,,
Sunderland,Sunderland,7.1,n/a,,,,,
The,Holy,Trinity,Toronto,7.1,n/a,,,
The,Queen,Elizabeth,Perth,7.1,n/a,,,
Vincent,Massey,Ottawa,7.1,n/a,,,,
Vista,Hills,Waterloo,7.1,n/a,,,,
Wellesley,Wellesley,7.1,n/a,,,,,
Wellington,Heights,Fenwick,7.1,n/a,,,,
Westwind,Stittsville,7.1,n/a,,,,,
Williamsburg,Whitby,7.1,n/a,,,,,
Admiral,Collingwood,Collingwood,7,n/a,,,,
Ange-Gabriel,Brockville,7,n/a,,,,,
Arran,Tara,Tara,7,n/a,,,,
Aurora,Grove,Aurora,7,n/a,,,,
Barbara,Reid,Stouffville,7,n/a,,,,
Belle,River,Belle,River,7,n/a,,,
Bobcaygeon,Bobcaygeon,7,n/a,,,,,
Brookdale,Oakville,7,n/a,,,,,
Canadian,Martyrs,Newmarket,7,n/a,,,,
Carl,A,Nesbitt,Sudbury,7,n/a,,,
Castlemore,Brampton,7,n/a,,,,,
Charles-Sauriol,Toronto,7,n/a,,,,,
College,Street,Smithville,7,n/a,,,,
Devins,Drive,Aurora,7,n/a,,,,
Empire,Waterloo,7,n/a,,,,,
Fern,Avenue,Toronto,7,n/a,,,,
Forest,Hill,Midhurst,7,n/a,,,,
Fr,Fenelon,Pickering,7,n/a,,,,
Grand,View,Cambridge,7,n/a,,,,
Grapeview,St,Catharines,7,n/a,,,,
Greendale,Niagara,Falls,7,n/a,,,,
Guardian,Angels,Hamilton,7,n/a,,,,
Heritage,Park,Toronto,7,n/a,,,,
Holy,Name,of,Mary,St,Marys,7,n/a,
Holy,Rosary,Toronto,7,n/a,,,,
Horizon,Jeunesse,Mississauga,7,n/a,,,,
Irma,Coulson,Milton,7,n/a,,,,
J,L,Jordan,Brockville,7,n/a,,,
John,Dearness,London,7,n/a,,,,
John,Dryden,Whitby,7,n/a,,,,
King,George,Guelph,7,n/a,,,,
King,George,Toronto,7,n/a,,,,
Marguerite-Bourgeois,Borden,7,n/a,,,,,
Martha,Cullimore,Niagara,Falls,7,n/a,,,
Meadowvale,Toronto,7,n/a,,,,,
Merlin,Area,Merlin,7,n/a,,,,
Michaëlle-Jean,Ottawa,7,n/a,,,,,
Montgomery,Village,Orangeville,7,n/a,,,,
Mountain,View,Collingwood,7,n/a,,,,
N,A,MacEachern,Waterloo,7,n/a,,,
Notre,Dame,Windsor,7,n/a,,,,
Our,Lady,of,Fatima,Cambridge,7,n/a,,
Our,Lady,of,Mount,Carmel,Niagara,Falls,7,n/a
Our,Lady,of,Sorrows,Petawawa,7,n/a,,
Parkview,Komoka,7,n/a,,,,,
Percy,P,McCallum,Windsor,7,n/a,,,
Randall,Markham,7,n/a,,,,,
Regent,Heights,Toronto,7,n/a,,,,
Robert,Munsch,Whitby,7,n/a,,,,
Sainte-Jeanne-d'Arc,Brampton,7,n/a,,,,,
Seaforth,Seaforth,7,n/a,,,,,
Simcoe,Street,Niagara,Falls,7,n/a,,,
South,River,South,River,7,n/a,,,
St,Catherine,of,Siena,Ajax,7,n/a,,
St,Catherine,of,Siena,London,7,n/a,,
St,Dominic,Savio,Kitchener,7,n/a,,,
St,Edward,Toronto,7,n/a,,,,
St,Hedwig,Oshawa,7,n/a,,,,
St,John,Toronto,7,n/a,,,,
St,John,Vianney,Windsor,7,n/a,,,
St,Joseph,Stratford,7,n/a,,,,
St,Malachy,Toronto,7,n/a,,,,
St,Margaret,Mary,Hamilton,7,n/a,,,
St,Marguerite,D'Youville,Richmond,Hill,7,n/a,,
St,Mary's,Chesterville,7,n/a,,,,
St,Matthew,Binbrook,7,n/a,,,,
St,Matthew,Waterloo,7,n/a,,,,
St,Patrick's,Woodstock,7,n/a,,,,
St,Thomas,Aquinas,Keswick,7,n/a,,,
St,Timothy,Burlington,7,n/a,,,,
St.,Brother,André,Gloucester,7,n/a,,,
St.,Jean-Marie,Vianney,Brampton,7,n/a,,,
St.,John,London,7,n/a,,,,
Stella,Maris,Amherstburg,7,n/a,,,,
Stonecrest,Woodlawn,7,n/a,,,,,
Sunnybrae,Innisfil,7,n/a,,,,,
Sydenham,Kingston,7,n/a,,,,,
Teston,Village,Maple,7,n/a,,,,
Toniata,Brockville,7,n/a,,,,,
Westminster,Thornhill,7,n/a,,,,,
William,G,Davis,Windsor,7,n/a,,,
Woodbridge,Woodbridge,7,n/a,,,,,
A,V,Graham,Tecumseh,6.9,n/a,,,
Ashton,Meadows,Markham,6.9,n/a,,,,
Ayr,Ayr,6.9,n/a,,,,,
Brother,Andre,Ajax,6.9,n/a,,,,
Bruce,T,Lindley,Burlington,6.9,n/a,,,
Burrows,Hall,Toronto,6.9,n/a,,,,
Canadian,Martyrs,Toronto,6.9,n/a,,,,
Carrefour,Jeunesse,Rockland,6.9,n/a,,,,
Centennial,Central,Comber,6.9,n/a,,,,
Central,Manitoulin,Mindemoya,6.9,n/a,,,,
Chris,Hadfield,Milton,6.9,n/a,,,,
Connaught,St,Catharines,6.9,n/a,,,,
Cornell,Village,Markham,6.9,n/a,,,,
Crossland,Newmarket,6.9,n/a,,,,,
Dufferin,Brantford,6.9,n/a,,,,,
Edith,Cavell,St,Catharines,6.9,n/a,,,
Elgin,Street,Ottawa,6.9,n/a,,,,
George,P,Mackie,Toronto,6.9,n/a,,,
Gladys,Speers,Oakville,6.9,n/a,,,,
Goodwood,Goodwood,6.9,n/a,,,,,
Henry,Larsen,Gloucester,6.9,n/a,,,,
Highland,Creek,Toronto,6.9,n/a,,,,
Hillcrest,Cambridge,6.9,n/a,,,,,
Holy,Family,Wallaceburg,6.9,n/a,,,,
Holy,Name,Kingston,6.9,n/a,,,,
Islington,Toronto,6.9,n/a,,,,,
J,W,Gerth,Kitchener,6.9,n/a,,,
Jacques-Cartier,Kapuskasing,6.9,n/a,,,,,
James,Morden,Niagara,Falls,6.9,n/a,,,
Jeanne-Sauvé,Orléans,6.9,n/a,,,,,
Kateri,Tekakwitha,Markham,6.9,n/a,,,,
Lake,Wilcox,Richmond,Hill,6.9,n/a,,,
Lester,B,Pearson,Waterloo,6.9,n/a,,,
Little,Rouge,Markham,6.9,n/a,,,,
Malden,Central,Amherstburg,6.9,n/a,,,,
Maple,Ridge,Orléans,6.9,n/a,,,,
Mapleview,Heights,Barrie,6.9,n/a,,,,
Mountain,Ash,Brampton,6.9,n/a,,,,
Norwood,Park,Hamilton,6.9,n/a,,,,
Notre,Dame,London,6.9,n/a,,,,
Our,Lady,of,Grace,Aurora,6.9,n/a,,
Pope,John,Paul,II,Hammond,6.9,n/a,,
Pringle,Creek,Whitby,6.9,n/a,,,,
R,A,Riddell,Hamilton,6.9,n/a,,,
R,H,Cornish,Port,Perry,6.9,n/a,,
Rogers,Newmarket,6.9,n/a,,,,,
Rose,des,Vents,Cornwall,6.9,n/a,,,
Ryerson,Heights,Brantford,6.9,n/a,,,,
Sacred,Heart,Brampton,6.9,n/a,,,,
Sacred,Heart,Parkhill,6.9,n/a,,,,
Saint-Isidore,St-Isidore,6.9,n/a,,,,,
Saint-Pierre,Sudbury,6.9,n/a,,,,,
Sam,Sherratt,Milton,6.9,n/a,,,,
Settler's,Green,Mississauga,6.9,n/a,,,,
Sharon,Sharon,6.9,n/a,,,,,
Southwold,St,Thomas,6.9,n/a,,,,
Springfield,Mississauga,6.9,n/a,,,,,
St,Eugene,Toronto,6.9,n/a,,,,
St,Gabriel,the,Archangel,Woodbridge,6.9,n/a,,
St,James,the,Apostle,Stoney,Creek,6.9,n/a,
St,Joachim,Toronto,6.9,n/a,,,,
St,John,Fisher,Forest,6.9,n/a,,,
St,Lawrence's,Hamilton,6.9,n/a,,,,
St,Margaret,Cambridge,6.9,n/a,,,,
St,Nicholas,Newmarket,6.9,n/a,,,,
St,Norbert,Toronto,6.9,n/a,,,,
St,Paul,Guelph,6.9,n/a,,,,
St,Paul,Kingston,6.9,n/a,,,,
St,Stephen,Stittsville,6.9,n/a,,,,
St,Wilfrid,Pickering,6.9,n/a,,,,
St,William,Emeryville,6.9,n/a,,,,
St.,Mary,Oakville,6.9,n/a,,,,
Sts,Peter,&,Paul,Hamilton,6.9,n/a,,
Thamesford,Thamesford,6.9,n/a,,,,,
Thorndale,Brampton,6.9,n/a,,,,,
Treeline,Brampton,6.9,n/a,,,,,
Valley,Central,Thunder,Bay,6.9,n/a,,,
Alexmuir,Toronto,6.8,n/a,,,,,
Balaclava,Carlisle,6.8,n/a,,,,,
Beryl,Ford,Brampton,6.8,n/a,,,,
Blessed,Trinity,Maple,6.8,n/a,,,,
Bridgeport,Kitchener,6.8,n/a,,,,,
Cathcart,Boulevard,Sarnia,6.8,n/a,,,,
catholique,L'Envol,Trenton,6.8,n/a,,,,
Central,Bowmanville,6.8,n/a,,,,,
Chapel,Hill,Orléans,6.8,n/a,,,,
Charles,G,Fraser,Toronto,6.8,n/a,,,
Coppard,Glen,Markham,6.8,n/a,,,,
Danforth,Gardens,Toronto,6.8,n/a,,,,
DeWitt,Carter,Port,Colborne,6.8,n/a,,,
Dr.,David,Suzuki,Windsor,6.8,n/a,,,
Drayton,Heights,Drayton,6.8,n/a,,,,
Duke,of,Connaught,Toronto,6.8,n/a,,,
Fairlawn,Caledon,6.8,n/a,,,,,
Father,Clair,Tipping,Brampton,6.8,n/a,,,
Fossil,Hill,Woodbridge,6.8,n/a,,,,
Good,Shepherd,Newmarket,6.8,n/a,,,,
Guardian,Angels,Vaughan,6.8,n/a,,,,
H,G,Bernard,Richmond,Hill,6.8,n/a,,
Harrison,Toronto,6.8,n/a,,,,,
Huntley,Centennial,Carpion,6.8,n/a,,,,
John,William,Boich,Burlington,6.8,n/a,,,
Kilbride,Kilbride,6.8,n/a,,,,,
Lincoln,Centennial,St,Catharines,6.8,n/a,,,
Lombardy,Lombardy,6.8,n/a,,,,,
Lorenville,Brampton,6.8,n/a,,,,,
Margaret,Twomey,Marathon,6.8,n/a,,,,
Mary,Ward,Niagara,Falls,6.8,n/a,,,
Mother,Teresa,St,Catharines,6.8,n/a,,,
Our,Lady,of,Fatima,Chatham,6.8,n/a,,
Our,Lady,of,Fatima,Woodbridge,6.8,n/a,,
Our,Lady,of,Wisdom,Orléans,6.8,n/a,,
Percy,Centennial,Warkworth,6.8,n/a,,,,
Phoebe,Gilman,East,Gwillimbury,6.8,n/a,,,
Princess,Elizabeth,Orangeville,6.8,n/a,,,,
Queenston,Drive,Mississauga,6.8,n/a,,,,
Reine-des-Bois,Cumberland,6.8,n/a,,,,,
River,Heights,Caledonia,6.8,n/a,,,,
Sacred,Heart,of,Jesus,Burlington,6.8,n/a,,
Sainte-Geneviève,Ottawa,6.8,n/a,,,,,
Sainte-Lucie,Long,Sault,6.8,n/a,,,,
Sir,Albert,Love,Oshawa,6.8,n/a,,,
Sir,Winston,Churchill,Nepean,6.8,n/a,,,
Spencer,Valley,Greensville,6.8,n/a,,,,
