School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
Altona,Forest,Pickering,8.6,n/a,,,,
Bedford,Park,Toronto,8.6,n/a,,,,
Bellmere,Toronto,8.6,n/a,,,,,
Bond,Lake,Richmond,Hill,8.6,n/a,,,
Centennial,Road,Toronto,8.6,n/a,,,,
Davisville,Toronto,8.6,n/a,,,,,
Dunlace,Toronto,8.6,n/a,,,,,
Édouard-Bond,Ottawa,8.6,n/a,,,,,
Forest,Hill,Toronto,8.6,n/a,,,,
Forest,Trail,Oakville,8.6,n/a,,,,
Henderson,Avenue,Thornhill,8.6,n/a,,,,
Kanata,Highlands,Kanata,8.6,n/a,,,,
Munns,Oakville,8.6,n/a,,,,,
New,Central,Oakville,8.6,n/a,,,,
Our,Lady,of,Perpetual,Help,Toronto,8.6,n/a,
Richmond,Rose,Richmond,Hill,8.6,n/a,,,
Rockcliffe,Park,Ottawa,8.6,n/a,,,,
St,John,of,the,Cross,Mississauga,8.6,n/a,
St.,Joseph,Toledo,8.6,n/a,,,,
Stephen,Leacock,Kanata,8.6,n/a,,,,
Tecumseh,Mississauga,8.6,n/a,,,,,
A,K,Wigg,Fonthill,8.5,n/a,,,
Abraham,Erb,Waterloo,8.5,n/a,,,,
Aurora,Aurora,8.5,n/a,,,,,
Baythorn,Thornhill,8.5,n/a,,,,,
Beckett,Farm,Markham,8.5,n/a,,,,
Bialik,Hebrew,Day,Toronto,8.5,n/a,,,
Courcelette,Toronto,8.5,n/a,,,,,
Eramosa,Rockwood,8.5,n/a,,,,,
John,Wanless,Toronto,8.5,n/a,,,,
Le-Petit-Prince,Vaughan,8.5,n/a,,,,,
L'Étoile-de-l'Est,Orléans,8.5,n/a,,,,,
Mount,Joy,Markham,8.5,n/a,,,,
Notre-Dame-de-Grâce,Toronto,8.5,n/a,,,,,
Pierre,Berton,Vaughan,8.5,n/a,,,,
Pilgrim,Wood,Oakville,8.5,n/a,,,,
Pope,Francis,Kleinburg,8.5,n/a,,,,
Springbrook,Brampton,8.5,n/a,,,,,
St,Augustine,Cambridge,8.5,n/a,,,,
St,Matthew,Mississauga,8.5,n/a,,,,
Armour,Heights,Toronto,8.4,n/a,,,,
Blessed,Kateri,Tekakwitha,Hamilton,8.4,n/a,,,
Central,Park,Markham,8.4,n/a,,,,
Corpus,Christi,Richmond,Hill,8.4,n/a,,,
Earl,A,Fairman,Whitby,8.4,n/a,,,
Elmdale,Ottawa,8.4,n/a,,,,,
Gainsborough,Central,St,Anns,8.4,n/a,,,
Joshua,Creek,Oakville,8.4,n/a,,,,
Kennedy,Toronto,8.4,n/a,,,,,
MacLeod's,Landing,Richmond,Hill,8.4,n/a,,,
Our,Lady,of,Fatima,Courtland,8.4,n/a,,
Ryerson,London,8.4,n/a,,,,,
Sainte-Marguerite-d'Youville,Toronto,8.4,n/a,,,,,
Saint-Joseph,d'Orléans,Orléans,8.4,n/a,,,,
Sister,Catherine,Donnelly,Barrie,8.4,n/a,,,
Sixteenth,Avenue,Richmond,Hill,8.4,n/a,,,
St,Augustines,Dundas,8.4,n/a,,,,
St,Brigid,Ayr,8.4,n/a,,,,
St,Clement,Woodbridge,8.4,n/a,,,,
St,Daniel,Ottawa,8.4,n/a,,,,
St,Demetrius,Toronto,8.4,n/a,,,,
St,Edmund,Mississauga,8.4,n/a,,,,
St,Finnan's,Alexandria,8.4,n/a,,,,
St,James,Seaforth,8.4,n/a,,,,
St,John,the,Baptist,Hamilton,8.4,n/a,,
St,Michael's,Douglas,8.4,n/a,,,,
St,Patrick,Markham,8.4,n/a,,,,
St,Paul,Whitby,8.4,n/a,,,,
St,Therese,of,the,Child,Jesus,Mississauga,8.4,n/a
Thomas,L,Wells,Toronto,8.4,n/a,,,
William,Dunbar,Pickering,8.4,n/a,,,,
Bernard-Grandmaître,Ottawa,8.3,n/a,,,,,
Central,Grimsby,8.3,n/a,,,,,
Father,Serra,Toronto,8.3,n/a,,,,
Glen,Shields,Concord,8.3,n/a,,,,
Herbert,H,Carnegie,Maple,8.3,n/a,,,
John,McCrae,Markham,8.3,n/a,,,,
Northlea,Toronto,8.3,n/a,,,,,
Our,Lady,of,Mount,Carmel,Carlisle,8.3,n/a,
Prince,of,Peace,Toronto,8.3,n/a,,,
Rick,Hansen,Aurora,8.3,n/a,,,,
Samuel-de-Champlain,Orillia,8.3,n/a,,,,,
St,Bernard,of,Clairvaux,Mississauga,8.3,n/a,,
St,Elizabeth,Cambridge,8.3,n/a,,,,
St,Henry,Toronto,8.3,n/a,,,,
St,Josaphat,Toronto,8.3,n/a,,,,
St,Joseph's,Oakville,8.3,n/a,,,,
St,Mary's,Deep,River,8.3,n/a,,,
Stevensville,Stevensville,8.3,n/a,,,,,
Woodroffe,Avenue,Ottawa,8.3,n/a,,,,
Abraar,Ottawa,8.2,n/a,,,,,
Adrienne,Clarkson,Ottawa,8.2,n/a,,,,
Allenby,Toronto,8.2,n/a,,,,,
As-Sadiq,Islamic,Thornhill,8.2,n/a,,,,
Black,Walnut,Markham,8.2,n/a,,,,
Carleton,St,Catharines,8.2,n/a,,,,
Castlemore,Markham,8.2,n/a,,,,,
Charles,R.,Beaudoin,Burlington,8.2,n/a,,,
Churchville,Brampton,8.2,n/a,,,,,
E,T,Crowle,Markham,8.2,n/a,,,
Fairglen,Toronto,8.2,n/a,,,,,
Fessenden,Ancaster,8.2,n/a,,,,,
Georges,Vanier,Kanata,8.2,n/a,,,,
Glen,Morris,Central,Glen,Morris,8.2,n/a,,
Glynn,A,Green,Fonthill,8.2,n/a,,,
King,George,Peterborough,8.2,n/a,,,,
Knoxdale,Nepean,8.2,n/a,,,,,
Lamoureux,Ottawa,8.2,n/a,,,,,
Laurelwood,Waterloo,8.2,n/a,,,,,
Lincoln,Alexander,Markham,8.2,n/a,,,,
Oodenawi,Oakville,8.2,n/a,,,,,
